,amenities
0,"{tv,""cable tv"",internet,wifi,kitchen,heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""garden or backyard"",""long term stays allowed"",""host greets you""}"
1,"{tv,""cable tv"",internet,wifi,""air conditioning"",pool,kitchen,""free parking on premises"",""pets allowed"",""pets live on this property"",dog(s),cat(s),""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",""building staff"",""hot water"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",oven,stove,""single level home""}"
2,"{tv,""cable tv"",internet,wifi,""air conditioning"",""free parking on premises"",""pets live on this property"",dog(s),cat(s),""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""hot water"",microwave,refrigerator,""dishes and silverware"",""luggage dropoff allowed"",""long term stays allowed""}"
3,"{tv,""cable tv"",internet,wifi,kitchen,""paid parking off premises"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""garden or backyard"",""long term stays allowed"",""host greets you""}"
4,"{internet,wifi,""air conditioning"",kitchen,""free parking on premises"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""hot water"",""host greets you""}"
5,"{tv,""cable tv"",internet,wifi,""pets live on this property"",dog(s),""free street parking"",heating,""family/kid friendly"",""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_50"",""hot water"",""coffee maker"",""dishes and silverware"",""ev charger"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed"",""cleaning before checkout"",""host greets you""}"
6,"{tv,wifi,""free parking on premises"",""pets live on this property"",dog(s),""free street parking"",""indoor fireplace"",heating,washer,dryer,""first aid kit"",""fire extinguisher"",essentials,""lock on bedroom door"",hangers,iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""self check-in"",keypad,""hot water"",""bed linens"",microwave,refrigerator,""dishes and silverware"",""single level home"",""luggage dropoff allowed"",""long term stays allowed"",""cleaning before checkout""}"
7,"{internet,wifi,""free parking on premises"",""pets live on this property"",dog(s),heating,""family/kid friendly"",""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_50"",""self check-in"",lockbox,""private living room""}"
8,"{internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""luggage dropoff allowed"",""long term stays allowed"",""well-lit path to entrance"",""host greets you"",""baking sheet"",""barbecue utensils"",""trash can""}"
9,"{tv,""cable tv"",internet,wifi,kitchen,""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""garden or backyard"",""long term stays allowed"",""host greets you""}"
