Model,Price,Specs
2024 Toyota Tundra Limited Hybrid,"$88,940   Pricing excludes licensing and tax.","[{""label"":""Engine:"",""value"":""Twin Turbo Gas/Electric V-6 3.5 L/210""},{""label"":""Manufacturer Exterior Colour:"",""value"":""Midnight Black Metallic""},{""label"":""Stock #:"",""value"":""N079701""}]"
2024 Toyota Corolla Cross L,"$29,680   Pricing excludes licensing and tax.","[{""label"":""Engine:"",""value"":""Regular Unleaded I-4 2.0 L/121""},{""label"":""Manufacturer Exterior Colour:"",""value"":""Sonic Silver Metallic""},{""label"":""Interior Colour:"",""value"":""Grey""},{""label"":""Stock #:"",""value"":""N093111""}]"
2024 Toyota RAV4 LE,"$35,180   Pricing excludes licensing and tax.","[{""label"":""Engine:"",""value"":""Regular Unleaded I-4 2.5 L/152""},{""label"":""Manufacturer Exterior Colour:"",""value"":""White""},{""label"":""Interior Colour:"",""value"":""Black""},{""label"":""Stock #:"",""value"":""N453060""}]"
2024 Toyota RAV4 LE,"$35,180   Pricing excludes licensing and tax.","[{""label"":""Engine:"",""value"":""Regular Unleaded I-4 2.5 L/152""},{""label"":""Manufacturer Exterior Colour:"",""value"":""Silver Sky Metallic""},{""label"":""Interior Colour:"",""value"":""Black""},{""label"":""Stock #:"",""value"":""N452154""}]"
2024 Toyota Corolla LE,"$26,350   Pricing excludes licensing and tax.","[{""label"":""Engine:"",""value"":""Regular Unleaded I-4 2.0 L/121""},{""label"":""Manufacturer Exterior Colour:"",""value"":""Blueprint""},{""label"":""Stock #:"",""value"":""N178778""}]"
2024 Toyota RAV4 Hybrid XLE,"$41,080   Pricing excludes licensing and tax.","[{""label"":""Engine:"",""value"":""Gas/Electric I-4 2.5 L/152""},{""label"":""Manufacturer Exterior Colour:"",""value"":""Blueprint""},{""label"":""Stock #:"",""value"":""N226455""}]"
2024 Toyota RAV4 LE,"$35,180   Pricing excludes licensing and tax.","[{""label"":""Engine:"",""value"":""Regular Unleaded I-4 2.5 L/152""},{""label"":""Manufacturer Exterior Colour:"",""value"":""Midnight Black Metallic""},{""label"":""Stock #:"",""value"":""N453992""}]"
2024 Toyota RAV4 LE,"$35,180   Pricing excludes licensing and tax.","[{""label"":""Engine:"",""value"":""Regular Unleaded I-4 2.5 L/152""},{""label"":""Manufacturer Exterior Colour:"",""value"":""Midnight Black Metallic""},{""label"":""Stock #:"",""value"":""N454160""}]"
2024 Toyota RAV4 XLE,"$41,175   Pricing excludes licensing and tax.","[{""label"":""Engine:"",""value"":""Regular Unleaded I-4 2.5 L/152""},{""label"":""Manufacturer Exterior Colour:"",""value"":""White""},{""label"":""Stock #:"",""value"":""N454748""}]"
2024 Toyota Tacoma BASE,"$60,180   Pricing excludes licensing and tax.","[{""label"":""Engine:"",""value"":""Intercooled Turbo Regular Unleaded I-4 2.4 L/146""},{""label"":""Manufacturer Exterior Colour:"",""value"":""Black""},{""label"":""Stock #:"",""value"":""N024149""}]"
2024 Toyota RAV4 Trail,"$43,120   Pricing excludes licensing and tax.","[{""label"":""Engine:"",""value"":""Regular Unleaded I-4 2.5 L/152""},{""label"":""Manufacturer Exterior Colour:"",""value"":""Army Green w/Ice Edge Roof""},{""label"":""Stock #:"",""value"":""N460460""}]"
