Model,Price,Description
2024 Corolla Hatchback,"27,750","5 KM. CVT, Ext: Blue Crush Metallic, Int: Black"
2024 Camry Hybrid,"41,490","6 KM. CVT, Ext: Midnight Black Metallic, Int: Chateau"
2024 GR Corolla,"46,850","5 KM. Man., Ext: Black, Int: Black"
2024 Tacoma,"46,950","5 KM. Auto., Ext: White, Int: Seat: BLACK"
2024 Venza Hybrid,"50,934","5 KM. CVT, Ext: Ruby Flare Pearl, Int: Black"
2024 Tundra,"63,130","5 KM. Auto., Ext: Lunar Rock, Int: Black"
2024 Grand Highlander,"65,450","6 KM. Auto., Ext: Midnight Black Metallic, Int: Black"
2024 Tundra,"69,650","5 KM. Auto., Ext: Celestial Silver Metallic, Int: Black"
2024 Tundra Hybrid,"76,320","18 KM. Auto., Ext: Midnight Black Metallic, Int: Black"
2024 Tundra Hybrid,"76,320","5 KM. Auto., Ext: Blueprint, Int: Black"
