Model,Price,Specs
COROLLASedan,"$26,372","[{""label"":""MSRP"",""value"":""$23,490""},{""label"":""Freight & PDI"",""value"":""$1,760""},{""label"":""Other Taxes & Duties"",""value"":""$1,122""},{""label"":""Purchase Price (Cash) Starting At"",""value"":""$26,372""}]"
COROLLA HATCHBACKHatchback,"$26,957","[{""label"":""MSRP"",""value"":""$24,075""},{""label"":""Freight & PDI"",""value"":""$1,760""},{""label"":""Other Taxes & Duties"",""value"":""$1,122""},{""label"":""Purchase Price (Cash) Starting At"",""value"":""$26,957""}]"
COROLLA HYBRIDSedan,"$29,672","[{""label"":""MSRP"",""value"":""$26,790""},{""label"":""Freight & PDI"",""value"":""$1,760""},{""label"":""Other Taxes & Duties"",""value"":""$1,122""},{""label"":""Purchase Price (Cash) Starting At"",""value"":""$29,672""}]"
COROLLA CROSSSUV,"$30,702","[{""label"":""MSRP"",""value"":""$27,650""},{""label"":""Freight & PDI"",""value"":""$1,930""},{""label"":""Other Taxes & Duties"",""value"":""$1,122""},{""label"":""Purchase Price (Cash) Starting At"",""value"":""$30,702""}]"
RAV4SUV,"$36,202","[{""label"":""MSRP"",""value"":""$33,150""},{""label"":""Freight & PDI"",""value"":""$1,930""},{""label"":""Other Taxes & Duties"",""value"":""$1,122""},{""label"":""Purchase Price (Cash) Starting At"",""value"":""$36,202""}]"
CAMRYSedan,"$33,972","[{""label"":""MSRP"",""value"":""$30,990""},{""label"":""Freight & PDI"",""value"":""$1,860""},{""label"":""Other Taxes & Duties"",""value"":""$1,122""},{""label"":""Purchase Price (Cash) Starting At"",""value"":""$33,972""}]"
GR86Coupe,"$35,332","[{""label"":""MSRP"",""value"":""$32,350""},{""label"":""Freight & PDI"",""value"":""$1,860""},{""label"":""Other Taxes & Duties"",""value"":""$1,122""},{""label"":""Purchase Price (Cash) Starting At"",""value"":""$35,332""}]"
CAMRY HYBRIDSedan,"$35,672","[{""label"":""MSRP"",""value"":""$32,690""},{""label"":""Freight & PDI"",""value"":""$1,860""},{""label"":""Other Taxes & Duties"",""value"":""$1,122""},{""label"":""Purchase Price (Cash) Starting At"",""value"":""$35,672""}]"
COROLLA CROSS HYBRIDSUV,"$37,642","[{""label"":""MSRP"",""value"":""$34,590""},{""label"":""Freight & PDI"",""value"":""$1,930""},{""label"":""Other Taxes & Duties"",""value"":""$1,122""},{""label"":""Purchase Price (Cash) Starting At"",""value"":""$37,642""}]"
RAV4 HYBRIDSUV,"$39,002","[{""label"":""MSRP"",""value"":""$35,950""},{""label"":""Freight & PDI"",""value"":""$1,930""},{""label"":""Other Taxes & Duties"",""value"":""$1,122""},{""label"":""Purchase Price (Cash) Starting At"",""value"":""$39,002""}]"
