Model,Price,Description,Engine Type,Transmission,Exterior Color,VIN,Drivetrain,Stock Number,City
2024 Toyota Corolla Hybrid LE 4dr Front-Wheel Drive Sedan,"$29,149",,1.8L 4cyl,Automatic,White,JTDBCMFE2RJ024690JTDBCMFE2RJ024690,Front Wheel Drive,N44573,St. Johns
2024 Toyota Corolla Cross L 4dr Front-Wheel Drive,"$30,179",,2.0L 4cyl,Automatic,Silver,7MUAAAAG5RV0840447MUAAAAG5RV084044,Front Wheel Drive,N44843,St. Johns
2024 Toyota Corolla Hatchback 5dr,"$33,094",,2.0L 4cyl,Automatic,White,JTNK4MBE0R3223756JTNK4MBE0R3223756,Front Wheel Drive,N44764,St. Johns
2024 Toyota Corolla Hybrid XSE 4dr All-Wheel Drive Sedan,"$37,464",,1.8L 4cyl,Automatic,White,JTDBDMHE2RJ007849JTDBDMHE2RJ007849,All Wheel Drive,N44719,St. Johns
2024 Toyota Corolla Cross XLE 4dr All-Wheel Drive,"$38,079",,2.0L 4cyl,Automatic,Blue,7MUDAABG2RV0814197MUDAABG2RV081419,All Wheel Drive,N44434,St. Johns
2024 Toyota RAV4 XLE 4dr All-Wheel Drive,"$39,379",,2.5L 4cyl,Automatic,Silver,2T3R1RFV3RC4101182T3R1RFV3RC410118,All Wheel Drive,N44393,St. Johns
2024 Toyota Corolla Cross Hybrid XSE 4dr All-Wheel Drive,"$39,879",,2.0L 4cyl,Automatic,Silver,7MUFBABG0RV0279017MUFBABG0RV027901,All Wheel Drive,N44746,St. Johns
2024 Toyota RAV4 Hybrid SE 4dr All-Wheel Drive,"$43,379",,2.5L 4cyl,Automatic,Blue,2T34WRFV7RW2268272T34WRFV7RW226827,All Wheel Drive,N45176,St. Johns
2024 Toyota Venza LE 4dr All-Wheel Drive,"$45,334",,2.5L 4cyl,Automatic,White,JTEAAAAH4RJ168402JTEAAAAH4RJ168402,All Wheel Drive,N44976,St. Johns
2024 Toyota GR Corolla Core 5dr Hatchback,"$49,209",,1.6L 3cyl,Manual,Black,JTNABAAE9RA009278JTNABAAE9RA009278,All Wheel Drive,N44433,St. Johns
2024 Toyota Venza Limited 4dr All-Wheel Drive,"$55,034",,2.5L 4cyl,Automatic,White,JTEAAAAH3RJ163109JTEAAAAH3RJ163109,All Wheel Drive,N44745,St. Johns
2024 Toyota Sienna XSE 7-Passenger 4dr All-Wheel Drive Passenger Van,"$55,119",,2.5L 4cyl,Automatic,White,5TDGSKFCXRS1236755TDGSKFCXRS123675,All Wheel Drive,N44684,St. Johns
2024 Toyota Venza Limited 4dr All-Wheel Drive,"$55,289",,2.5L 4cyl,Automatic,White,JTEAAAAH3RJ173879JTEAAAAH3RJ173879,All Wheel Drive,N45114,St. Johns
2024 Toyota Sienna XSE 7-Passenger 4dr All-Wheel Drive Passenger Van,"$60,619",,2.5L 4cyl,Automatic,White,5TDGSKFC8RS1196255TDGSKFC8RS119625,All Wheel Drive,N44519,St. Johns
2024 Toyota Crown Platinum 4dr Sedan,"$66,524",,2.4L 4cyl,Automatic,White,JTDAFAAF0R3005688JTDAFAAF0R3005688,All Wheel Drive,N44345,St. Johns
2024 Toyota Tundra Limited 4dr 4x4 Double Cab 6.5 ft. box,"$70,434",,3.5L 6cyl,Automatic,Red,5TFWA5DA5RX1789355TFWA5DA5RX178935,4x4,N44899,St. Johns
2024 Toyota Tundra Hybrid Limited 4dr 4x4 CrewMax 5.5 ft. box,"$79,104",,3.5L 6cyl,Automatic,Red,5TFWC5DB8RX0673465TFWC5DB8RX067346,4x4,N44768,St. Johns
2024 Toyota Tundra Platinum 4dr 4x4 CrewMax 5.5 ft. box,"$81,619",,3.5L 6cyl,Automatic,Silver,5TFNA5DB5RX1746775TFNA5DB5RX174677,4x4,N44790,St. Johns
2024 Toyota Tundra Hybrid Limited 4dr 4x4 CrewMax 5.5 ft. box,"$89,439",,3.5L 6cyl,Automatic,Brown,5TFPC5DB2RX0473555TFPC5DB2RX047355,4x4,N44248,St. Johns
2023 Toyota Tundra Hybrid Capstone 4dr 4x4 CrewMax 5.5 ft. box,"$90,434",,3.5L 6cyl,Automatic,Red,5TFVC5DB0PX0403135TFVC5DB0PX040313,4x4,N43890,St. Johns
