Model,Price,Specs
2024ToyotaRAV4,"33,150","[{""label"":""Colour"",""value"":""Midnight Black Metallic""},{""label"":""Trim"",""value"":""LE""},{""label"":""Transmission"",""value"":""Auto""},{""label"":""Drivetrain"",""value"":""All-Wheel drive""},{""label"":""Fuel Type"",""value"":""Gas""},{""label"":""Stock #"",""value"":""#TB1938""}]"
2024ToyotaRAV4,"33,150","[{""label"":""Colour"",""value"":""White""},{""label"":""Trim"",""value"":""LE""},{""label"":""Transmission"",""value"":""Auto""},{""label"":""Drivetrain"",""value"":""All-Wheel drive""},{""label"":""Fuel Type"",""value"":""Gas""},{""label"":""Stock #"",""value"":""#TB1939""}]"
2024ToyotaRAV4,"36,850","[{""label"":""Colour"",""value"":""Silver Sky Metallic (Gray)""},{""label"":""Trim"",""value"":""XLE""},{""label"":""Engine"",""value"":""2.5L I4""},{""label"":""Transmission"",""value"":""Auto""},{""label"":""Drivetrain"",""value"":""All-Wheel drive""},{""label"":""Fuel Type"",""value"":""Gas""},{""label"":""Stock #"",""value"":""#TB1937""}]"
2024ToyotaGrand Highlander,"50,490","[{""label"":""Colour"",""value"":""Midnight Black Metallic""},{""label"":""Trim"",""value"":""XLE""},{""label"":""Engine"",""value"":""2.4L I4""},{""label"":""Transmission"",""value"":""Auto""},{""label"":""Drivetrain"",""value"":""All-Wheel drive""},{""label"":""Fuel Type"",""value"":""Gas""},{""label"":""Stock #"",""value"":""#TB1933""}]"
2024ToyotaTacoma,"50,050","[{""label"":""Colour"",""value"":""BLU (Blue)""},{""label"":""Engine"",""value"":""2.4L I4""},{""label"":""Transmission"",""value"":""Auto""},{""label"":""Drivetrain"",""value"":""4-Wheel drive""},{""label"":""Fuel Type"",""value"":""Gas""},{""label"":""Stock #"",""value"":""#TB1882""}]"
2024ToyotaTundra,"73,350","[{""label"":""Colour"",""value"":""GRY (Gray)""},{""label"":""Trim"",""value"":""Limited Hybrid CrewMax""},{""label"":""Engine"",""value"":""3.4L V6""},{""label"":""Transmission"",""value"":""Auto""},{""label"":""Drivetrain"",""value"":""4-Wheel drive""},{""label"":""Fuel Type"",""value"":""Hybrid""},{""label"":""Stock #"",""value"":""#TB1874""}]"
2024ToyotaRAV4,"44,750","[{""label"":""Colour"",""value"":""Blueprint""},{""label"":""Trim"",""value"":""Limited""},{""label"":""Engine"",""value"":""2.5L I4""},{""label"":""Transmission"",""value"":""Auto""},{""label"":""Drivetrain"",""value"":""All-Wheel drive""},{""label"":""Fuel Type"",""value"":""Gas""},{""label"":""Stock #"",""value"":""#TB1819""}]"
2024ToyotaTundra,"79,450","[{""label"":""Colour"",""value"":""Wind Chill Pearl (White)""},{""label"":""Trim"",""value"":""Platinum""},{""label"":""Transmission"",""value"":""Auto""},{""label"":""Drivetrain"",""value"":""4-Wheel drive""},{""label"":""Fuel Type"",""value"":""Gas""},{""label"":""Stock #"",""value"":""#TB1662""}]"
2024ToyotaTundra,"60,450","[{""label"":""Colour"",""value"":""Magnetic Grey Metallic""},{""label"":""Trim"",""value"":""SR""},{""label"":""Transmission"",""value"":""Auto""},{""label"":""Drivetrain"",""value"":""4-Wheel drive""},{""label"":""Fuel Type"",""value"":""Gas""},{""label"":""Stock #"",""value"":""#TB1661""}]"
2024ToyotaCorolla Cross,"29,050","[{""label"":""Colour"",""value"":""Sonic Silver Metallic (Gray)""},{""label"":""Trim"",""value"":""L""},{""label"":""Transmission"",""value"":""Auto""},{""label"":""Drivetrain"",""value"":""All-Wheel drive""},{""label"":""Fuel Type"",""value"":""Gas""},{""label"":""Stock #"",""value"":""#TB1943""}]"
