,Failed URLs,,,,
1,https://www.summersidetoyota.com/en/new-inventory,,,,
2,https://www.trurotoyota.com/en/new-inventory,,,,
3,"https://www.anchortoyota.ca/vehicles/new/?st=year,desc&view=grid&sc=new",,,,
4,https://www.kentvilletoyota.com/en/shop-online?paymentFrequency=52&purchaseMethodOrder=4352&preferredMake=ALL,,,,
5,https://oreganstoyotabridgewater.com/inventory/?do-search=1,,,,
6,https://oreganstoyotahalifax.com/inventory/?search.vehicle-inventory-type-ids.0=1,,,,
7,https://oreganstoyotadartmouth.com/inventory/?search.vehicle-inventory-type-ids.0=1,,,,
8,https://trimactoyota.ca/new-inventory/,,,,
9,https://www.macdonaldtoyota.ca/new/inventory/search.html,,,,
10,https://www.gandertoyota.com/new/inventory/search.html,,,,
11,https://www.centraltoyota.ca/new/inventory/search.html,,,,
12,https://www.toyotaplaza.ca/new/,,,,
13,https://www.edmundstontoyota.com/en/new-inventory,,,,
14,https://www.bathursttoyota.ca/en/new-inventory,,,,
15,https://www.amhersttoyota.com/vehicles/new/?view=grid&sc=new,,,,
16,https://www.woodstocknbtoyota.com/en/for-sale/all/new,,,,
,,,,,
,,,,,
,,,,,
,failed,,,,
,https://www.edmundstontoyota.com/en/new-inventory,,,,
,https://www.amhersttoyota.com/vehicles/new/?view=grid&sc=new,,,,
